"dates","means","Low","High","Type","country"
2020-03-28,0.0245706327120471,8.26996389002074e-06,0.0740185517722125,"Error 2","hongkong"
2020-03-28,0.15587522198131,0.0415840032264086,0.277561896854782,"Error 1","hongkong"
2020-03-28,0.181715629647251,0.0610105679717845,0.318322875896295,"No misidentification","hongkong"
2020-03-29,0.0245542548130288,2.87872743898396e-05,0.0721309187679261,"Error 2","hongkong"
2020-03-29,0.330640250878739,0.16265972018407,0.513553765232751,"No misidentification","hongkong"
2020-03-29,0.382881743843782,0.215805996531463,0.592414330798951,"Error 1","hongkong"
2020-03-30,0.0259232424423849,3.32267979331544e-05,0.0778520621452309,"Error 2","hongkong"
2020-03-30,0.1539556244664,0.0460098296489272,0.274287277362556,"Error 1","hongkong"
2020-03-30,0.178643306915662,0.0599790433049746,0.312940891919581,"No misidentification","hongkong"
2020-03-31,0.0262665902678723,1.06086387335145e-05,0.079669083493142,"Error 2","hongkong"
2020-03-31,0.129651154971083,0.0313666670608267,0.246623057742008,"Error 1","hongkong"
2020-03-31,0.153346271989909,0.044932487811528,0.277670454531398,"No misidentification","hongkong"
2020-04-01,0.0259640829149937,3.71744632363027e-05,0.0815846813948302,"Error 2","hongkong"
2020-04-01,0.209647715451526,0.0779329722218859,0.35722726705834,"No misidentification","hongkong"
2020-04-01,0.23716432482312,0.0920265695940887,0.388669579807569,"Error 1","hongkong"
2020-04-02,0.027786390913903,4.63030312338603e-07,0.0793716338218462,"Error 2","hongkong"
2020-04-02,0.163452457028628,0.0478937338210119,0.295970142921541,"No misidentification","hongkong"
2020-04-02,0.163664830638011,0.0502314480791405,0.294005587676734,"Error 1","hongkong"
2020-04-03,0.0288702963315914,1.90484943312329e-05,0.0877885725988319,"Error 2","hongkong"
2020-04-03,0.230500065913399,0.085684478820458,0.392758434910976,"No misidentification","hongkong"
2020-04-03,0.260863060379539,0.0979717889006295,0.429868517051677,"Error 1","hongkong"
2020-04-04,0.0622167147287895,0.00256834307047071,0.147825256090076,"Error 2","hongkong"
2020-04-04,0.183477987499537,0.0537614793628568,0.332231201478473,"No misidentification","hongkong"
2020-04-04,0.243027267921096,0.0885002483636133,0.411820704443589,"Error 1","hongkong"
2020-04-05,0.0318914978561584,1.70319461858647e-06,0.0989729463933311,"Error 2","hongkong"
2020-04-05,0.131245253278613,0.0233780870989701,0.260794034402557,"No misidentification","hongkong"
2020-04-05,0.132334927082843,0.0237361398032935,0.262665867796213,"Error 1","hongkong"
2020-04-06,0.0707792168774909,0.00151497297471767,0.166996486282324,"Error 2","hongkong"
2020-04-06,0.216997374977903,0.0635831036500836,0.392926146559074,"No misidentification","hongkong"
2020-04-06,0.2851432758657,0.104791602404878,0.479453749969947,"Error 1","hongkong"
2020-04-07,0.0411137799457912,2.03119416121444e-06,0.120365496860441,"Error 2","hongkong"
2020-04-07,0.120620161137743,0.0122027603188469,0.25737214319479,"No misidentification","hongkong"
2020-04-07,0.121175815865379,0.0155615137042386,0.267162727052251,"Error 1","hongkong"
2020-04-08,0.045182754074141,2.16032706986287e-05,0.132913466463797,"Error 2","hongkong"
2020-04-08,0.174470425897172,0.0277018559487703,0.341642612932033,"Error 1","hongkong"
2020-04-08,0.178708307950075,0.0318324532444258,0.355106637743273,"No misidentification","hongkong"
2020-04-09,0.0478121409440681,2.01686231579082e-05,0.143840711011508,"Error 1","hongkong"
2020-04-09,0.0486027570969102,4.70785597876666e-05,0.14068797273223,"Error 2","hongkong"
2020-04-09,0.0495782644802598,3.14535158353673e-10,0.148523213261013,"No misidentification","hongkong"
2020-04-10,0.0559191086882247,8.17255093035762e-06,0.171585276945862,"Error 2","hongkong"
2020-04-10,0.162778698199002,0.0176542383517686,0.341635315819171,"Error 1","hongkong"
2020-04-10,0.163609531999702,0.0165518590426561,0.34910031209258,"No misidentification","hongkong"
2020-04-11,0.0652301772773543,2.92868405260965e-05,0.194923294033417,"Error 2","hongkong"
2020-04-11,0.125014328187935,0.00264800995545759,0.297857151696096,"No misidentification","hongkong"
2020-04-11,0.128402232208185,0.00243189738051414,0.309285794224005,"Error 1","hongkong"
2020-04-12,0.0693757931476737,1.39072386615494e-06,0.217610088458891,"Error 2","hongkong"
2020-04-12,0.0712020621006632,4.51721174847846e-10,0.213302324412976,"No misidentification","hongkong"
2020-04-12,0.071968433790348,9.49059087389237e-05,0.216168412118172,"Error 1","hongkong"
2020-04-13,0.165857947733852,0.00219950010300049,0.397839285013966,"Error 2","hongkong"
2020-04-13,0.245633955606036,0.0248500106289503,0.524119160506292,"No misidentification","hongkong"
2020-04-13,0.333487643883662,0.0704506522009093,0.681187806939151,"Error 1","hongkong"
2020-04-14,0.0920555367292218,1.95861268635494e-05,0.270634458638622,"Error 2","hongkong"
2020-04-14,0.188891838296177,0.0058524408170354,0.444881134086607,"Error 1","hongkong"
2020-04-14,0.191410169440611,0.00405438353790512,0.456050827945839,"No misidentification","hongkong"
